Sun Dec 27 10:55:38 +0000 2015,681065900259315712,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ahmetpirimoglu,,,,RT @hakkiocal: Nic.tr'nin yaşadığı DDoS problemi üzerine.. -- Volkan Oransoy https://t.co/ltLe32Yr1p via @voransoy

Sun Dec 27 09:47:24 +0000 2015,681048728011190272,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",KMYOBilgisayar,,,,"Nic.tr’nin yaşadığı DDoS problemi üzerine…

https://t.co/C0eKnr5MLO https://t.co/UQGijMNC1B"

Sun Dec 27 09:47:20 +0000 2015,681048712043364352,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",hakkiocal,"Istanbul, Turkiye",,,Nic.tr'nin yaşadığı DDoS problemi üzerine.. -- Volkan Oransoy https://t.co/ltLe32Yr1p via @voransoy

Sun Dec 27 09:21:07 +0000 2015,681042112339640320,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",bayhaniso,"Ankara, Türkiye",,,@SuperYardim fiber kullanıyorum ama nic.tr bağlanamıyom işin garibi dsl ve 3g ile bağlanıyorum neden

Sun Dec 27 09:11:32 +0000 2015,681039699499184128,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",alperen_aydogdu,,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sun Dec 27 08:32:19 +0000 2015,681029832730345472,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",cuneytinci,,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sun Dec 27 08:31:46 +0000 2015,681029694830030848,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Batuhanncom,,,,"Reis-i Cumhur; ""ODTÜ'de namaz kılanlara saldırının takipçisi olacağız."" demiş, yeni bir Kabataş vakası.. Bahane ile nic.tr'ye el koyacaklar."

Sun Dec 27 07:32:19 +0000 2015,681014733420519424,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SelmaArslanp,,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

